id,species,source,flag,severity,detail,text
403,Hamachi,Anglers / 志摩んちゅのアングラー,duplicate_same_fact,P0,"Même species/source/text que IDs [387, 403, 470]; garder une occurrence canonique.","Le 29 novembre 2025 à 16 h 50, un warasa de 63 cm a été enregistré dans Ago Bay sur Jack Eye Maki Maki coloris Iwashi. C'est une preuve locale forte qu'un poisson de classe warasa peut rentrer dans Ago Bay très tard en novembre."
470,Hamachi,Anglers / 志摩んちゅのアングラー,duplicate_same_fact,P0,"Même species/source/text que IDs [387, 403, 470]; garder une occurrence canonique.","Le 29 novembre 2025 à 16 h 50, un warasa de 63 cm a été enregistré dans Ago Bay sur Jack Eye Maki Maki coloris Iwashi. C'est une preuve locale forte qu'un poisson de classe warasa peut rentrer dans Ago Bay très tard en novembre."
404,Hamachi,Anglers / かめっち,duplicate_same_fact,P0,"Même species/source/text que IDs [388, 404, 471]; garder une occurrence canonique.","À Shukutaso, juste à l'ouest de Shima, un warasa de 64 cm a été pris le 29 novembre 2025 à 08 h 00 sur Jack Eye Maki Maki blue-pink, par vent NW 8,6 m/s. À 09 h 00, le même journal enregistre aussi un Aori Ika."
471,Hamachi,Anglers / かめっち,duplicate_same_fact,P0,"Même species/source/text que IDs [388, 404, 471]; garder une occurrence canonique.","À Shukutaso, juste à l'ouest de Shima, un warasa de 64 cm a été pris le 29 novembre 2025 à 08 h 00 sur Jack Eye Maki Maki blue-pink, par vent NW 8,6 m/s. À 09 h 00, le même journal enregistre aussi un Aori Ika."
405,Hamachi,Fishing-YOU / 森,duplicate_same_fact,P0,"Même species/source/text que IDs [389, 405, 472]; garder une occurrence canonique.","Le 13 novembre 2025 en Minami-Ise, un pêcheur du bord observe régulièrement le bait se faire poursuivre. Il choisit un Samurai Jig 20 g argenté, lit le déplacement des poissons, lance en anticipation de leur trajectoire et prend deux hamachi, dont un de 46 cm et un d'environ 30 cm."
472,Hamachi,Fishing-YOU / 森,duplicate_same_fact,P0,"Même species/source/text que IDs [389, 405, 472]; garder une occurrence canonique.","Le 13 novembre 2025 en Minami-Ise, un pêcheur du bord observe régulièrement le bait se faire poursuivre. Il choisit un Samurai Jig 20 g argenté, lit le déplacement des poissons, lance en anticipation de leur trajectoire et prend deux hamachi, dont un de 46 cm et un d'environ 30 cm."
406,Hamachi,Fishing-YOU / Minami-Ise,duplicate_same_fact,P0,"Même species/source/text que IDs [390, 406, 473]; garder une occurrence canonique.","Le 13 novembre 2024 en Minami-Ise, des boils de gros bluefish ont persisté en fin d'après-midi, mais les poissons ignoraient des Aji en vif car ils étaient focalisés sur du togoro-iwashi. Le bait exact peut donc dominer le choix de présentation."
473,Hamachi,Fishing-YOU / Minami-Ise,duplicate_same_fact,P0,"Même species/source/text que IDs [390, 406, 473]; garder une occurrence canonique.","Le 13 novembre 2024 en Minami-Ise, des boils de gros bluefish ont persisté en fin d'après-midi, mais les poissons ignoraient des Aji en vif car ils étaient focalisés sur du togoro-iwashi. Le bait exact peut donc dominer le choix de présentation."
407,Suzuki,Anglers / 東雲坊,duplicate_same_fact,P0,"Même species/source/text que IDs [391, 407, 474]; garder une occurrence canonique.",Un pêcheur qui indique pêcher principalement le surf de Shima avant le lever du soleil a enregistré un Hirasuzuki de 76 cm le 17 novembre 2025 à 05 h 34. C'est une preuve directe forte d'une fenêtre Hirasuzuki à l'aube en novembre.
474,Suzuki,Anglers / 東雲坊,duplicate_same_fact,P0,"Même species/source/text que IDs [391, 407, 474]; garder une occurrence canonique.",Un pêcheur qui indique pêcher principalement le surf de Shima avant le lever du soleil a enregistré un Hirasuzuki de 76 cm le 17 novembre 2025 à 05 h 34. C'est une preuve directe forte d'une fenêtre Hirasuzuki à l'aube en novembre.
